Id,Family,Name,ProductCode,product_series_name__c,SBCF_Product_Family_Code__c,Sub.Product
01tf2000008C5xYAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 6 Energize Updates Subscription MSP,BNGCAW006sa-t1m,CAW,BNG,CGF Public Cloud
01tf2000008C73HAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Account,BNGCAW008a,CAW,BNG,CGF Public Cloud
01tf2000008C73IAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Advanced Threat Protection Subscription 1 Month,BNGCAW008a-a,CAW,BNG,CGF Public Cloud
01tf2000008C5fhAAC,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Demo Conversion,BNGCAW008a-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xZAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Insights for Amazon Web Services Level 8 1 Month,BNGCAW008a-fi,CAW,BNG,CGF Public Cloud
01tf2000008C73JAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Malware Protection Subscription 1 Month,BNGCAW008a-m,CAW,BNG,CGF Public Cloud
01tf2000008C73KAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Premium Support Subscription 1 Month,BNGCAW008a-p,CAW,BNG,CGF Public Cloud
01tf2000008C73LAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Virtual Subscription 1 Month,BNGCAW008a-v,CAW,BNG,CGF Public Cloud
01tf2000008C73MAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 8 Advanced Remote Access Subscription 1 Month,BNGCAW008a-vp,CAW,BNG,CGF Public Cloud
01tf2000008C73NAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Account,BNGCAW008p,CAW,BNG,CGF Public Cloud
01tf2000008C73OAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Advanced Threat Protection Subscription 1 Month,BNGCAW008p-a,CAW,BNG,CGF Public Cloud
01tf2000008C73PAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Malware Protection Subscription 1 Month,BNGCAW008p-m,CAW,BNG,CGF Public Cloud
01tf2000008C73QAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Premium Support Subscription 1 Month,BNGCAW008p-p,CAW,BNG,CGF Public Cloud
01tf2000009IBJoAAO,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Base License Capacity,BNGCAW008pu,null,BNG,CGF Public Cloud
01tf2000008C73RAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Virtual Subscription 1 Month,BNGCAW008p-v,CAW,BNG,CGF Public Cloud
01tf2000008C75QAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 8 Advanced Remote Access Subscription 1 Month,BNGCAW008p-vp,CAW,BNG,CGF Public Cloud
01tf2000008C75RAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 8 MSP,BNGCAW008sa,CAW,BNG,CGF Public Cloud
01tf2000008C75SAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 8 MSP,BNGCAW008sa-b,CAW,BNG,CGF Public Cloud
01tf2000008C5gXAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 8 Demo Conversion,BNGCAW008sa-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xaAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 8 Energize Updates Subscription MSP,BNGCAW008sa-t1m,CAW,BNG,CGF Public Cloud
01tf2000008Cvd8AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Insights Server for Amazon Web Services,BNGCAWFISa,BNG,BNG,CGF Public Cloud
01tf2000008Cvd9AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Insights Server for Amazon Web Services Virtual 1 Month License,BNGCAWFISa-v,BNG,BNG,CGF Public Cloud
01tf2000008C77EAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Microsoft Azure Marketplace,BNGCAZ000p,CAZ,BNG,CGF Public Cloud
